date,open,high,low,close,volume,adj_close,ret
1950-01-03,16.66,16.66,16.66,16.66,1260000,16.66,0.011404561824730042
1950-01-04,16.85,16.85,16.85,16.85,1890000,16.85,0.004747774480712064
1950-01-05,16.93,16.93,16.93,16.93,2550000,16.93,0.002953337271116352
1950-01-06,16.98,16.98,16.98,16.98,2010000,16.98,0.005889281507655886
1950-01-09,17.08,17.08,17.08,17.08,2520000,17.08,-0.002927341920374471
1950-01-10,17.030001000000002,17.030001000000002,17.030001000000002,17.030001000000002,2160000,17.030001000000002,0.0035231354361047185
1950-01-11,17.09,17.09,17.09,17.09,2630000,17.09,-0.01930953774136912
1950-01-12,16.76,16.76,16.76,16.76,2970000,16.76,-0.005369928400954627
1950-01-13,16.67,16.67,16.67,16.67,3330000,16.67,0.002999340131973449
1950-01-16,16.719998999999998,16.719998999999998,16.719998999999998,16.719998999999998,1460000,16.719998999999998,0.008373325859648784
1950-01-17,16.860001,16.860001,16.860001,16.860001,1790000,16.860001,-0.000593179086999962
1950-01-18,16.85,16.85,16.85,16.85,1570000,16.85,0.0011870029673590743
1950-01-19,16.870001000000002,16.870001000000002,16.870001000000002,16.870001000000002,1170000,16.870001000000002,0.0017782453006371934
1950-01-20,16.9,16.9,16.9,16.9,1440000,16.9,0.0011834319526629056
1950-01-23,16.92,16.92,16.92,16.92,1340000,16.92,-0.00354604018912541
1950-01-24,16.860001,16.860001,16.860001,16.860001,1250000,16.860001,-0.007117496612248253
1950-01-25,16.74,16.74,16.74,16.74,1700000,16.74,-0.0005973715651134137
1950-01-26,16.73,16.73,16.73,16.73,1150000,16.73,0.005379557680812885
1950-01-27,16.82,16.82,16.82,16.82,1250000,16.82,0.01189060642092743
1950-01-30,17.02,17.02,17.02,17.02,1640000,17.02,0.0017625734430082307
1950-01-31,17.049999,17.049999,17.049999,17.049999,1690000,17.049999,0.0
1950-02-01,17.049999,17.049999,17.049999,17.049999,1810000,17.049999,0.010557244020952705
1950-02-02,17.23,17.23,17.23,17.23,2040000,17.23,0.003482356355194449
1950-02-03,17.290001,17.290001,17.290001,17.290001,2210000,17.290001,0.0017350490610150704
1950-02-06,17.32,17.32,17.32,17.32,1490000,17.32,-0.0051963048498845366
1950-02-07,17.23,17.23,17.23,17.23,1360000,17.23,-0.0011608241439350353
1950-02-08,17.209999,17.209999,17.209999,17.209999,1470000,17.209999,0.004067519120716012
1950-02-09,17.280001000000002,17.280001000000002,17.280001000000002,17.280001000000002,1810000,17.280001000000002,-0.0023148725512228685
1950-02-10,17.24,17.24,17.24,17.24,1790000,17.24,-0.010440893271461804
1950-02-14,17.059998999999998,17.059998999999998,17.059998999999998,17.059998999999998,2210000,17.059998999999998,0.0
1950-02-15,17.059998999999998,17.059998999999998,17.059998999999998,17.059998999999998,1730000,17.059998999999998,-0.004103106922808131
1950-02-16,16.99,16.99,16.99,16.99,1920000,16.99,0.009417304296645002
1950-02-17,17.15,17.15,17.15,17.15,1940000,17.15,0.0029155102040816505
1950-02-20,17.200001,17.200001,17.200001,17.200001,1420000,17.200001,-0.0017442440846369145
1950-02-21,17.17,17.17,17.17,17.17,1260000,17.17,0.0023295864880603645
1950-02-23,17.209999,17.209999,17.209999,17.209999,1310000,17.209999,0.004067519120716012
1950-02-24,17.280001000000002,17.280001000000002,17.280001000000002,17.280001000000002,1710000,17.280001000000002,0.0
1950-02-27,17.280001000000002,17.280001000000002,17.280001000000002,17.280001000000002,1410000,17.280001000000002,-0.0034723377620177187
1950-02-28,17.219998999999998,17.219998999999998,17.219998999999998,17.219998999999998,1310000,17.219998999999998,0.0011614983252903333
1950-03-01,17.24,17.24,17.24,17.24,1410000,17.24,-0.000580046403712231
1950-03-02,17.23,17.23,17.23,17.23,1340000,17.23,0.003482356355194449
1950-03-03,17.290001,17.290001,17.290001,17.290001,1520000,17.290001,0.0017350490610150704
1950-03-06,17.32,17.32,17.32,17.32,1470000,17.32,-0.0069283487297922
1950-03-07,17.200001,17.200001,17.200001,17.200001,1590000,17.200001,-0.0005813953150350937
1950-03-08,17.190001000000002,17.190001000000002,17.190001000000002,17.190001000000002,1360000,17.190001000000002,-0.006980860559577695
1950-03-09,17.07,17.07,17.07,17.07,1330000,17.07,0.0011716461628588082
1950-03-10,17.09,17.09,17.09,17.09,1260000,17.09,0.0017554710356935121
1950-03-13,17.120001000000002,17.120001000000002,17.120001000000002,17.120001000000002,1060000,17.120001000000002,0.0075933990891705605
1950-03-14,17.25,17.25,17.25,17.25,1140000,17.25,0.011594260869565165
1950-03-15,17.450001,17.450001,17.450001,17.450001,1830000,17.450001,0.0022922061723662512
1950-03-16,17.49,17.49,17.49,17.49,2060000,17.49,-0.002286963979416745
1950-03-17,17.450001,17.450001,17.450001,17.450001,1600000,17.450001,-0.0005730658697382651
1950-03-20,17.440001000000002,17.440001000000002,17.440001000000002,17.440001000000002,1430000,17.440001000000002,0.000573394462534571
1950-03-21,17.450001,17.450001,17.450001,17.450001,1400000,17.450001,0.005730544084209477
1950-03-22,17.549999,17.549999,17.549999,17.549999,2010000,17.549999,0.0005698006022676338
1950-03-23,17.559998999999998,17.559998999999998,17.559998999999998,17.559998999999998,2020000,17.559998999999998,0.0
1950-03-24,17.559998999999998,17.559998999999998,17.559998999999998,17.559998999999998,1570000,17.559998999999998,-0.005694761144348415
1950-03-27,17.459999,17.459999,17.459999,17.459999,1930000,17.459999,0.004009278580141995
1950-03-28,17.530001000000002,17.530001000000002,17.530001000000002,17.530001000000002,1780000,17.530001000000002,-0.005134055611291766
1950-03-29,17.440001000000002,17.440001000000002,17.440001000000002,17.440001000000002,2090000,17.440001000000002,-0.008027637154378708
1950-03-30,17.299999,17.299999,17.299999,17.299999,2370000,17.299999,-0.0005779191085502067
1950-03-31,17.290001,17.290001,17.290001,17.290001,1880000,17.290001,0.013880855183293628
1950-04-03,17.530001000000002,17.530001000000002,17.530001000000002,17.530001000000002,1570000,17.530001000000002,0.0011407871568289707
1950-04-04,17.549999,17.549999,17.549999,17.549999,2010000,17.549999,0.004558404818142625
1950-04-05,17.629998999999998,17.629998999999998,17.629998999999998,17.629998999999998,1430000,17.629998999999998,0.008508338542730698
1950-04-06,17.780001000000002,17.780001000000002,17.780001000000002,17.780001000000002,2000000,17.780001000000002,0.0039369514096201375
1950-04-10,17.85,17.85,17.85,17.85,2070000,17.85,-0.0056022408963586345
1950-04-11,17.75,17.75,17.75,17.75,2010000,17.75,0.010704281690141038
1950-04-12,17.940001000000002,17.940001000000002,17.940001000000002,17.940001000000002,2010000,17.940001000000002,0.0022295985379263694
1950-04-13,17.98,17.98,17.98,17.98,2410000,17.98,-0.0011124026696329725
1950-04-14,17.959999,17.959999,17.959999,17.959999,2750000,17.959999,-0.004454343232424551
1950-04-17,17.879998999999998,17.879998999999998,17.879998999999998,17.879998999999998,2520000,17.879998999999998,0.008389374070994382
1950-04-18,18.030001000000002,18.030001000000002,18.030001000000002,18.030001000000002,3320000,18.030001000000002,0.0011091513527923258
1950-04-19,18.049999,18.049999,18.049999,18.049999,2950000,18.049999,-0.006648144412639612
1950-04-20,17.93,17.93,17.93,17.93,2590000,17.93,0.0016731176798661096
