S&P 500 value,2017-06-01,2017-10-01,2017-11-16,2017-12-01
1800.0,-48.239115782187895,-53.76534198161568,-54.01083554864243,-54.01083787238679
1810.0,-47.59060231846834,-53.68693695152072,-54.01083172016686,-54.01083787238679
1820.0,-46.89083957093064,-53.58711514618193,-54.010822163674334,-54.01083787238679
1830.0,-46.138331642632835,-53.46114021936086,-54.010799163392704,-54.01083787238679
1840.0,-45.33181715757843,-53.30353047509314,-54.01074575518933,-54.01083787238679
1850.0,-44.47029679883974,-53.1080139093755,-54.01062602648116,-54.01083787238679
1860.0,-43.55305957236544,-52.867497290068115,-54.010366741766575,-54.01083787238679
1870.0,-42.5797073864635,-52.57405324851163,-54.00982397355102,-54.01083787238679
1880.0,-41.550177546862415,-52.218929342018555,-54.00872501947225,-54.01083787238679
1890.0,-40.46476278442728,-51.79258284401965,-54.00657154517597,-54.01083787238679
1900.0,-39.32412845687787,-51.28474461126058,-54.00248495348001,-54.01083787238679
1910.0,-38.129326596854014,-50.684514757687936,-53.9949702798381,-54.01083787238679
1920.0,-36.881806515910256,-49.9804920362908,-53.98157190068136,-54.01083787238679
1930.0,-35.58342171685953,-49.160937808871864,-53.95839506155656,-54.01083787238679
1940.0,-34.23643291457401,-48.21397429738158,-53.919474087244254,-54.01083787238679
1950.0,-32.84350701704173,-47.127815498344745,-53.855983347511454,-54.01083787238679
1960.0,-31.40771197322337,-45.891027753447275,-53.755311857928575,-54.01083787238679
1970.0,-29.932507451073946,-44.49281556184985,-53.60005612286034,-54.01083787238679
1980.0,-28.421731366943874,-42.92332685576767,-53.36702511791927,-54.01083787238679
1990.0,-26.87958234543018,-41.17397070489761,-53.02638984265744,-54.01083787238679
2000.0,-25.310598245562062,-39.237739330626084,-52.54113892403021,-54.01083787238679
2010.0,-23.719630943967218,-37.10952545608899,-51.86701170332506,-54.01083787238679
2020.0,-22.111817617480824,-34.78642544360437,-50.95306292527218,-54.01083787238679
2030.0,-20.49254881556874,-32.26801841644209,-49.742964485195444,-54.01083787238679
2040.0,-18.867433656253468,-29.556611653917713,-48.17707186711431,-54.01083787238679
2050.0,-17.242262517197645,-26.65744299933428,-46.19518530467607,-54.01083787238679
2060.0,-15.622967625683856,-23.578831825694607,-43.73983397878459,-54.01083787238679
2070.0,-14.015581977018115,-20.33227124524143,-40.75982483973232,-54.01083787238679
2080.0,-12.426197029979448,-16.932455691810844,-37.213744240297984,-54.01083787238679
2090.0,-10.860919640272385,-13.39723970248204,-33.073093469001975,-54.01083787238679
2100.0,-9.325828698347522,-9.747525618673677,-28.32478244518103,-54.01083787238679
2110.0,-7.8269319366035575,-6.007079949765284,-22.972792597838463,-44.07746424297517
2120.0,-6.37012336300387,-2.2022802219280493,-17.038933948126157,-34.14409061356355
2130.0,-4.961141763863054,1.6382038037150721,-10.562740086288471,-24.210716984151986
2140.0,-3.605530698392414,5.483788690446204,-3.6006443920736046,-14.277343354740367
2150.0,-2.3086003820250767,9.302408003150475,3.77535787124296,-4.343969725328748
2160.0,-1.0753918251415087,13.060985863328312,11.479344672038422,5.589403904082872
2170.0,0.08935644079897997,16.725942841910864,19.413218858972414,15.52277753349449
2180.0,1.1812387558070725,20.263722673432227,27.46846915366436,25.45615116290608
2190.0,2.196209589645264,23.64132765272754,35.52792465139265,35.3895247923177
2200.0,3.130607455915225,26.826850323843416,43.467573215685036,45.32289842172929
2210.0,3.981175316386228,29.7899891934739,51.15857378191285,55.25627205114091
2220.0,4.7450773550710466,32.502536687431444,58.46961038537205,65.18964568055253
2230.0,5.419912046530769,34.938828395379346,65.26970591476558,75.12301930996412
2240.0,6.003721487152561,37.07614378159974,71.43154095471465,85.05639293937574
2250.0,6.494997001165899,38.89504993385151,76.8352218499281,94.98976656878736
2260.0,6.89268107418863,40.37968152631052,81.37233285674986,104.92314019819895
2270.0,7.196165705889463,41.517951929035476,84.95001245897227,114.85651382761057
2280.0,7.405287309185809,42.301692244858856,87.49473339529561,124.78988745702219
2290.0,7.520318316175363,42.726716934095805,88.95545271564225,134.72326108643378
2300.0,7.541955680244506,42.79281653858257,89.3058360502043,144.6566347158454
2310.0,7.471306489327873,42.50367978341987,88.54534328485136,134.7232610864338
2320.0,7.309870927026886,41.86674896729098,86.69907680153243,124.78988745702219
2330.0,7.059522836044209,40.89301400712896,83.81641907339024,114.85651382761057
2340.0,6.722488152177789,39.59675174519562,79.96860331043656,104.92314019819898
2350.0,6.301321487016949,37.99521813030516,75.24545150632835,94.98976656878736
2360.0,5.798881143520958,36.108301633326846,69.75156707693503,85.05639293937571
2370.0,5.218302851036164,33.958146742824425,63.602280357539634,75.12301930996412
2380.0,4.562972505188355,31.56875661132377,56.919618186735306,65.18964568055253
2390.0,3.8364981937217806,28.96558389627666,49.828513387046186,55.25627205114091
2400.0,3.042681781965939,26.175118579327034,42.45339943775151,45.32289842172932
2410.0,2.1854903215497075,23.224481076681613,34.9152639261841,35.38952479231773
2420.0,1.2690275334690853,20.141028300401658,27.32917330484723,25.456151162906053
2430.0,0.2975056020673037,16.951979527366362,19.80223894370298,15.52277753349449
2440.0,-0.7247824998862313,13.684068013436061,12.431973468605094,5.589403904082872
2450.0,-1.793489952577204,10.363223290162594,5.304985273748827,-4.343969725328748
2460.0,-2.904242113465557,7.01428803452464,-1.5040273515633658,-14.27734335474031
2470.0,-4.052661460673988,3.6607723418398166,-7.933000067313941,-24.210716984151986
2480.0,-5.234391311855802,0.3246471886025404,-13.932940968363283,-34.144090613563606
2490.0,-6.445118195247403,-2.973822127094479,-19.468065725825994,-44.07746424297517
2500.0,-7.68059277010687,-6.2162027114897,-24.515606880642224,-54.01083787238679
2510.0,-8.936649213708051,-9.385981956058458,-29.06528152392221,-54.0108378723868
2520.0,-10.209223011727488,-12.468618305314124,-33.11841811874979,-54.01083787238676
2530.0,-11.494367107632627,-15.451557274979393,-36.68676609399114,-54.010837872386816
2540.0,-12.788266384736517,-18.324215597989053,-39.7910366118073,-54.010837872386844
2550.0,-14.087250471520463,-21.077936770345445,-42.45924506419959,-54.01083787238679
2560.0,-15.38780487665258,-23.705921545772014,-44.7249416687676,-54.01083787238673
2570.0,-16.686580474715925,-26.203137092706413,-46.62542365653829,-54.01083787238673
2580.0,-17.980401376979103,-28.56620858686938,-48.20002023040411,-54.01083787238679
2590.0,-19.266271233415182,-30.793296977733576,-49.488530504157325,-54.01083787238679
2600.0,-20.541378022788194,-32.8839665489204,-50.52987698565221,-54.010837872386844
2610.0,-21.803097396753174,-34.839045703593,-51.36101553059103,-54.010837872386844
2620.0,-23.04899465169217,-36.66048415932278,-52.0161199440613,-54.01083787238679
2630.0,-24.276825408529476,-38.35120944581337,-52.526038156399295,-54.01083787238679
2640.0,-25.48453508580053,-39.91498527606723,-52.91799915915601,-54.01083787238679
2650.0,-26.670257255206536,-41.356274019194984,-53.21553689428572,-54.01083787238679
2660.0,-27.832310971566073,-42.6801051521868,-53.438589488066384,-54.010837872386844
2670.0,-28.96919717065748,-43.891951218468876,-53.603729362251215,-54.01083787238679
2680.0,-30.0795942290149,-44.99761248165487,-53.72448107844491,-54.01083787238673
2690.0,-31.162352779294338,-46.00311114065664,-53.811688219843404,-54.01083787238679
2700.0,-32.21648987365052,-46.91459567301956,-53.87389703459405,-54.01083787238679
2710.0,-33.241182585498336,-47.738255601320134,-53.91773187579429,-54.01083787238679
2720.0,-34.23576113728552,-48.48024673573548,-53.948244777091645,-54.01083787238679
2730.0,-35.19970163872779,-49.14662673613998,-53.96922814460538,-54.01083787238679
2740.0,-36.13261851605171,-49.74330065998333,-53.98348512086136,-54.01083787238679
2750.0,-37.03425670866841,-50.27597601743378,-53.99305650630936,-54.01083787238679
2760.0,-37.90448370511808,-50.75012674163861,-53.999406208295795,-54.0108378723869
2770.0,-38.74328148537154,-51.170965397616555,-54.00356914967392,-54.01083787238679
2780.0,-39.550738431593345,-51.54342289599356,-54.0062666033233,-54.0108378723869
2790.0,-40.32704126437329,-51.87213494479761,-54.00799424499985,-54.01083787238679
2800.0,-41.07246705633702,-52.16143446088131,-54.00908804862888,-54.01083787238679
